time,Power(W),shortwave_radiation_instant,direct_normal_irradiance_instant,diffuse_radiation_instant,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,temperature_2m ,relative_humidity_2m ,surface_pressure,wind_speed_10m,wind_direction_10m,direct_radiation_instant,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,uv_index,dew_point_2m,WS50M,WD50M,latitude,longitude,number,expver,cbh,cloud_cover_high,cloud_cover_low,cloud_cover_mid,cloud_cover,tciw,hour,day_of_year,month,day_of_week,is_day,solar_elevation
10/20/2025 16:00,1659.8,116.78,294.49,59.5,138.93,0.42,0.07,29.7,70.08,100.75,3.01,51.9,53.85,63.22,5.95,0.03,0.15,23.68,3.22,52.7,9.67,80.18,0,1,529.9226,25.51,7.9,1.95,32.5,7.57E-05,16,293,10,1,1,26.74087513
10/20/2025 17:00,243.625,0,0,0,0,0,0,29.12,74.4,100.82,2.97,50.7,0,0,0,0,0,24.12,3.49,51.5,9.67,80.18,0,1,530.5786,40.39,16.94,4.96,52.63,6.96E-05,17,293,10,1,1,12.52673953
10/20/2025 18:00,0,0,0,0,0,0,0,28.74,77.4,100.9,2.99,52.5,0,0,0,0,0,24.42,3.69,53.3,9.67,80.18,0,1,542.1653,54.98,5.96,3.96,61.43,0.000141606,18,293,10,1,1,0
10/20/2025 19:00,0,0,0,0,0,0,0,28.52,78.83,101,3.01,55.4,0,0,0,0,0,24.51,3.74,56,9.67,80.18,0,1,529.63354,79.5,7.3,4.04,80.51,0.000220956,19,293,10,1,0,0
10/20/2025 20:00,0,0,0,0,0,0,0,28.35,79.96,101.07,3.17,59.9,0,0,0,0,0,24.58,3.92,60.4,9.67,80.18,0,1,519.5498,85.29,12.73,3.39,88.32,0.000242927,20,293,10,1,0,0
10/20/2025 21:00,0,0,0,0,0,0,0,28.16,81.06,101.08,3.4,63.4,0,0,0,0,0,24.62,4.2,64,9.67,80.18,0,1,511.75244,79.65,18.67,7.18,84.31,0.000242927,21,293,10,1,0,0
10/20/2025 22:00,0,0,0,0,0,0,0,27.98,81.97,101.05,3.55,65,0,0,0,0,0,24.64,4.38,65.4,9.67,80.18,0,1,625.23926,77.13,11.07,4.21,79.97,0.000123291,22,293,10,1,0,0
10/20/2025 23:00,0,0,0,0,0,0,0,27.8,82.82,100.97,3.68,64.8,0,0,0,0,0,24.63,4.51,65,9.67,80.18,0,1,546.7742,86.05,7.06,2.16,86.9,0.000101321,23,293,10,1,0,0
10/21/2025 0:00,0,0,0,0,0,0,0,27.64,83.43,100.88,3.76,62.8,0,0,0,0,0,24.61,4.61,62.9,9.67,80.18,0,1,546.5862,88.68,9.37,2.17,89.73,0.000109868,0,294,10,2,0,0
10/21/2025 1:00,0,0,0,0,0,0,0,27.5,83.83,100.79,3.8,61.1,0,0,0,0,0,24.54,4.66,61.1,9.67,80.18,0,1,541.395,81.13,7.49,0.01,81.9,0.000131838,1,294,10,2,0,0
